"Tournament.ID","Best.of","Court","Location","Tier","Surface","Tournament","Type","AvgPts","AvgRank","NumRounds","MinPoints","MinRank"
63,3,"Indoor","Basel","ATP500","Hard","Swiss Indoors","ATP",1973,36,5,500,112
64,3,"Indoor","Vienna","ATP500","Hard","Erste Bank Open","ATP",1711,40,5,383,139
65,3,"Indoor","Paris","Masters 1000","Hard","BNP Paribas Masters","ATP",2408,32,6,584,97
66,3,"Indoor","London","Masters Cup","Hard","Masters Cup","ATP",5412,4,3,2670,8
67,3,"Outdoor","Auckland","International","Hard","ASB Classic","WTA",1258,74,5,308,190
68,3,"Outdoor","Brisbane","Premier","Hard","Brisbane International","WTA",2495,41,5,170,283
69,3,"Outdoor","Shenzhen","International","Hard","Shenzhen Open","WTA",1091,79,5,143,309
70,3,"Outdoor","Hobart","International","Hard","Hobart International","WTA",870,88,5,89,380
71,3,"Outdoor","Sydney","Premier","Hard","Sydney International","WTA",2552,38,5,307,192
72,3,"Outdoor","Melbourne","Grand Slam","Hard","Australian Open","WTA",1934,61,7,33,551
73,3,"Outdoor","Hua Hin","International","Hard","Thailand Open","WTA",927,82,5,273,221
74,3,"Indoor","St. Petersburg","International","Hard","Ladies Trophy","WTA",1794,54,5,321,181
75,3,"Outdoor","Doha","Premier","Hard","Qatar Total Open","WTA",2402,45,5,71,429
76,3,"Indoor","Budapest","International","Hard","Hungarian Ladies Open","WTA",673,106,5,34,547
77,3,"Outdoor","Dubai","Premier","Hard","Dubai Duty Free Tennis Championships","WTA",2034,49,6,80,406
78,3,"Outdoor","Acapulco","International","Clay","Abierto Mexicano","WTA",1082,79,5,234,242
79,3,"Outdoor","Indian Wells","Premier","Hard","BNP Paribas Open","WTA",1869,53,7,232,238
80,3,"Outdoor","Miami","Premier","Hard","Sony Ericsson Open","WTA",1928,55,7,58,456
81,3,"Outdoor","Charleston","Premier","Clay","Family Circle Cup","WTA",1363,81,6,15,674
82,3,"Outdoor","Monterrey","International","Hard","Monterrey Open","WTA",1091,112,5,41,514
83,3,"Outdoor","Bogota","International","Clay","Copa Claro Colsanitas","WTA",480,163,5,30,574
84,3,"Outdoor","Lugano","International","Clay","Samsung Open","WTA",689,107,5,80,413
85,3,"Outdoor","Istanbul","International","Clay","Istanbul Cup","WTA",875,82,5,211,256
86,3,"Indoor","Stuttgart","Premier","Clay","Porsche Tennis Grand Prix","WTA",2692,48,5,16,681
87,3,"Outdoor","Prague","International","Clay","J&T Banka Prague Open","WTA",848,97,5,250,232
88,3,"Outdoor","Rabat","International","Clay","Grand Prix SAR Lalla Meryem","WTA",979,76,5,277,215
89,3,"Outdoor","Madrid","Premier","Clay","Mutua Madrid Open","WTA",2490,36,6,161,292
90,3,"Outdoor","Rome","Premier","Clay","Internazionali BNL d'Italia","WTA",2203,42,6,9,779
91,3,"Outdoor","Nürnberg","International","Clay","Nürnberger Versicherungscup","WTA",712,117,5,41,523
92,3,"Outdoor","Strasbourg","International","Clay","Internationaux de Strasbourg","WTA",1043,109,5,44,514
93,3,"Outdoor","Paris","Grand Slam","Clay","French Open","WTA",1665,67,7,45,514
94,3,"Outdoor","'s-Hertogenbosch","International","Grass","Rosmalen Grass Court Championships","WTA",1186,85,5,266,214
95,3,"Outdoor","Nottingham","International","Grass","Nottingham Open","WTA",898,109,5,56,481
96,3,"Outdoor","Birmingham","Premier","Grass","Birmingham Classic ","WTA",2197,42,5,306,190
97,3,"Outdoor","Mallorca","International","Grass","Mallorca Open","WTA",1663,64,5,116,358
98,3,"Outdoor","Eastbourne","Premier","Grass","Eastbourne International","WTA",1980,52,6,117,356
99,3,"Outdoor","London","Grand Slam","Grass","Wimbledon","WTA",1728,63,7,148,313
100,3,"Outdoor","Bucharest","International","Clay","Bucharest Open","WTA",637,129,5,175,284
101,3,"Outdoor","Lausanne","International","Clay","Ladies Open Lausanne","WTA",649,122,5,34,562
102,3,"Outdoor","Jurmala","International","Clay","Baltic Open","WTA",754,141,5,147,316
103,3,"Outdoor","Palermo","International","Clay","Internazionali Femminili di Palermo","WTA",892,138,5,49,507
