tournamentGroup,year,title,startDate,endDate,surface,inOutdoor,city,country,singlesDrawSize,doublesDrawSize,prizeMoney,prizeMoneyCurrency,liveScoringId
"{'id': 903, 'name': 'ROLAND GARROS', 'level': 'Grand Slam', 'metadata': None}",2020,"Roland Garros - Paris, France",24/05/2020,06/06/2020,Clay,O,PARIS,FRANCE,128,64,0,USD,M041
"{'id': 1090, 'name': 'BOL', 'level': '125K', 'metadata': None}",2020,"Croatia Bol Open - Bol, Croatia",01/06/2020,06/06/2020,Clay,O,BOL,CROATIA,32,16,115000,USD,1090
"{'id': 1080, 'name': 'NOTTINGHAM', 'level': 'International', 'metadata': None}",2020,"Nature Valley Open - Nottingham, Great Britain",08/06/2020,14/06/2020,Grass,O,NOTTINGHAM,GREAT BRITAIN,32,16,251750,USD,1080
"{'id': 822, 'name': ""'S-HERTOGENBOSCH"", 'level': 'International', 'metadata': None}",2020,"Libema Open - 's-Hertogenbosch, Netherlands",08/06/2020,14/06/2020,Grass,O,'S-HERTOGENBOSCH,NETHERLANDS,32,16,251750,USD,M010
"{'id': 1052, 'name': 'BIRMINGHAM', 'level': 'International', 'metadata': None}",2020,"Nature Valley Classic - Birmingham, Great Britain",15/06/2020,21/06/2020,Grass,O,BIRMINGHAM,GREAT BRITAIN,32,16,251750,USD,1052
"{'id': 2012, 'name': 'BERLIN', 'level': 'Premier', 'metadata': None}",2020,"bett1open - Berlin, Germany",15/06/2020,21/06/2020,Grass,O,BERLIN,GERMANY,32,16,1022899,USD,2012
"{'id': 2017, 'name': 'BAD HOMBURG', 'level': 'International', 'metadata': None}",2020,"Bad Homburg Open - Bad Homburg, Germany",21/06/2020,27/06/2020,Grass,O,BAD HOMBURG,GERMANY,32,16,251750,USD,2017
"{'id': 710, 'name': 'EASTBOURNE', 'level': 'Premier', 'metadata': None}",2020,"Nature Valley International - Eastbourne, Great Britain",21/06/2020,27/06/2020,Grass,O,EASTBOURNE,GREAT BRITAIN,64,16,0,USD,M016
"{'id': 904, 'name': 'WIMBLEDON', 'level': 'Grand Slam', 'metadata': None}",2020,"The Championships - Wimbledon, Great Britain",29/06/2020,11/07/2020,Grass,O,WIMBLEDON,GREAT BRITAIN,128,64,0,USD,M042
"{'id': 2003, 'name': 'BASTAD', 'level': '125K', 'metadata': None}",2020,"Nordea Open - Bastad, Sweden",06/07/2020,11/07/2020,Clay,O,BASTAD,SWEDEN,32,16,115000,USD,2003
"{'id': 1079, 'name': 'BUCHAREST', 'level': 'International', 'metadata': None}",2020,"BRD Bucharest Open - Bucharest, Romania",13/07/2020,19/07/2020,Clay,O,BUCHAREST,ROMANIA,32,16,251750,USD,1079
"{'id': 1094, 'name': 'LAUSANNE', 'level': 'International', 'metadata': None}",2020,"Ladies Open Lausanne - Lausanne, Switzerland",13/07/2020,19/07/2020,Clay,O,LAUSANNE,SWITZERLAND,32,16,251750,USD,1094
"{'id': 466, 'name': 'PALERMO', 'level': 'International', 'metadata': None}",2020,"30^ Palermo Ladies Open - Palermo, Italy",20/07/2020,26/07/2020,Clay,O,PALERMO,ITALY,32,16,251750,USD,466
"{'id': 2006, 'name': 'JURMALA', 'level': 'International', 'metadata': None}",2020,"Baltic Open - Jurmala, Latvia",20/07/2020,26/07/2020,Clay,O,JURMALA,LATVIA,32,16,251750,USD,2006
"{'id': 2007, 'name': 'NEW HAVEN 125K', 'level': '125K', 'metadata': None}",2020,"Oracle Challenger Series - New Haven, CT, USA",27/07/2020,02/08/2020,Hard,O,NEW HAVEN,"UNITED STATES, CT",64,16,162480,USD,2007
"{'id': 2004, 'name': 'KARLSRUHE', 'level': '125K', 'metadata': None}",2020,"Liqui Moly Open Karlsruhe - Karlsruhe, Germany",28/07/2020,02/08/2020,Clay,O,KARLSRUHE,GERMANY,32,8,115000,USD,2004
"{'id': 1045, 'name': 'WASHINGTON DC', 'level': 'International', 'metadata': None}",2020,"Citi Open - Washington DC, USA",03/08/2020,09/08/2020,Hard,O,WASHINGTON DC,"UNITED STATES, DC",32,16,251750,USD,1045
"{'id': 703, 'name': 'SAN JOSE', 'level': 'Premier', 'metadata': None}",2020,"Mubadala Silicon Valley Classic - San Jose, CA, USA",03/08/2020,09/08/2020,Hard,O,SAN JOSE,"UNITED STATES, CA",32,16,0,USD,703
"{'id': 806, 'name': 'MONTREAL', 'level': 'Premier 5', 'metadata': None}",2020,"Rogers Cup presented by National Bank - Montreal, Canada",10/08/2020,16/08/2020,Hard,O,MONTREAL,CANADA,64,32,0,USD,806
